# Longevidade	Quantidade
1.83743	0.844667
1.86104	0.845333
1.86111	0.846
1.8622	0.846667
1.88342	0.847333
1.88408	0.848
1.88784	0.848667
1.89523	0.849333
1.8998	0.85
1.90067	0.850667
1.90211	0.851333
1.90921	0.852
1.91226	0.852667
1.91233	0.853333
1.91269	0.854
1.9195	0.854667
1.92015	0.855333
1.92211	0.856
1.92421	0.856667
1.92718	0.857333
1.94268	0.858
1.94514	0.858667
1.94522	0.859333
1.94551	0.86
1.94565	0.860667
1.94724	0.861333
1.94978	0.862
1.95746	0.862667
1.99245	0.863333
1.99889	0.864
2.00259	0.864667
2.00404	0.865333
2.00925	0.866
2.00961	0.866667
2.01251	0.867333
2.01925	0.868
2.02403	0.868667
2.032	0.869333
2.05315	0.87
2.05489	0.870667
2.05576	0.871333
2.07097	0.872
2.07807	0.872667
2.09611	0.873333
2.09647	0.874
2.09814	0.874667
2.10197	0.875333
2.10676	0.876
2.11378	0.876667
2.11958	0.877333
2.1203	0.878
2.12668	0.878667
2.13023	0.879333
2.13378	0.88
2.14001	0.880667
2.16471	0.881333
2.17847	0.882
2.18427	0.882667
2.18528	0.883333
2.19158	0.884
2.19318	0.884667
2.1981	0.885333
2.20382	0.886
2.20672	0.886667
2.21541	0.887333
2.22954	0.888
2.2399	0.888667
2.24671	0.889333
2.25373	0.89
2.25453	0.890667
2.2562	0.891333
2.25656	0.892
2.25743	0.892667
2.26475	0.893333
2.2683	0.894
2.27011	0.894667
2.28054	0.895333
2.28148	0.896
2.28756	0.896667
2.28843	0.897333
2.30017	0.898
2.31321	0.898667
2.31429	0.899333
2.32197	0.9
2.32451	0.900667
2.32683	0.901333
2.33747	0.902
2.34008	0.902667
2.34486	0.903333
2.3558	0.904
2.36247	0.904667
2.36384	0.905333
2.36935	0.906
2.37514	0.906667
2.37855	0.907333
2.3855	0.908
2.39007	0.908667
2.39086	0.909333
2.40535	0.91
2.40789	0.910667
2.40897	0.911333
2.41846	0.912
2.42549	0.912667
2.43744	0.913333
2.43918	0.914
2.44012	0.914667
2.4407	0.915333
2.4491	0.916
2.45034	0.916667
2.46874	0.917333
2.46888	0.918
2.4783	0.918667
2.47851	0.919333
2.48569	0.92
2.49018	0.920667
2.49358	0.921333
2.50133	0.922
2.5406	0.922667
2.55001	0.923333
2.55899	0.924
2.5695	0.924667
2.58457	0.925333
2.59036	0.926
2.60883	0.926667
2.61267	0.927333
2.61629	0.928
2.62586	0.928667
2.63817	0.929333
2.65107	0.93
2.67533	0.930667
2.68192	0.931333
2.69337	0.932
2.69931	0.932667
2.70981	0.933333
2.7188	0.934
2.72481	0.934667
2.72582	0.935333
2.74343	0.936
2.76154	0.936667
2.7648	0.937333
2.78377	0.938
2.78783	0.938667
2.8	0.939333
2.8192	0.94
2.82115	0.940667
2.8402	0.941333
2.85324	0.942
2.86092	0.942667
2.86867	0.943333
2.86969	0.944
2.87722	0.944667
2.90591	0.945333
2.92677	0.946
2.93467	0.946667
2.97617	0.947333
2.98566	0.948
3.005	0.948667
3.01949	0.949333
3.02616	0.95
3.02826	0.950667
3.03137	0.951333
3.03456	0.952
3.05977	0.952667
3.06013	0.953333
3.06708	0.954
3.12221	0.954667
3.13873	0.955333
3.16567	0.956
3.19074	0.956667
3.2024	0.957333
3.21645	0.958
3.25333	0.958667
3.27854	0.959333
3.29918	0.96
3.34424	0.960667
3.37502	0.961333
3.38908	0.962
3.39661	0.962667
3.41392	0.963333
3.4676	0.964
3.47673	0.964667
3.52113	0.965333
3.52331	0.966
3.58821	0.966667
3.60205	0.967333
3.62429	0.968
3.70557	0.968667
3.71455	0.969333
3.72346	0.97
3.75229	0.970667
3.76446	0.971333
3.8616	0.972
3.9465	0.972667
4.02046	0.973333
